TICK: 19173968: Log_pts_dbg - TSPC_BAP_27_5 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_28_1 FALSE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_28_2 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_28_3 FALSE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_28_4 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_29_1 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_29_2 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_2_1 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_2_2 FALSE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_30_1 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_30_2 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_30_3 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_31_1 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_31_2 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_31_3 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_31_4 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_31_5 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_31_6 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_31_7 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_32_1 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_32_10 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_32_2 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_32_3 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_32_4 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_32_5 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_32_6 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_32_7 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_32_8 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_32_9 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_33_1 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_33_2 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_33_3 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_33_4 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_33_5 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_33_6 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_33_7 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_33_8 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_33a_1 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_33a_2 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_33a_3 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_33a_4 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_33a_5 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_33a_6 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_33a_7 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_33a_8 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_34_1 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_34_2 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_34_3 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_34_4 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_34_5 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_35_1 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_35_2 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_36_1 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_36_10 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_36_11 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_36_12 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_36_13 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_36_14 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_36_15 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_36_16 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_36_17 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_36_2 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_36_3 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_36_4 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_36_5 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_36_6 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_36_7 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_36_8 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_36_9 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_37_1 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_37_10 TRUE
